"","method","island","survey_year","mpa_status","den_nontargeted","den_targeted","bm_nontargeted","bm_targeted","den_AAFF","den_AARG","den_ADAV","den_AFLA","den_AGUA","den_AHAR","den_AHOL","den_AINE","den_ANOB","den_AOCE","den_APFL","den_ATHE","den_ATHESPP","den_AVUL","den_BAITBALL","den_BATH","den_BFRE","den_BFREYOY","den_BOTH","den_BPOL","den_BRAY","den_CAGG","den_CGIG","den_CITH","den_CITHSPP","den_CLUP","den_COBS","den_COTSP","den_CPRI","den_CPUN","den_CPUNYOY","den_CSAT","den_CSOR","den_CSTI","den_CVEN","den_CVIO","den_CXAN","den_DMAC","den_EBIS","den_EJAC","den_EJOR","den_ELAT","den_EMBI","den_EMOR","den_ETAU","den_EWAL","den_GBY","den_GGAL","den_GLIN","den_GMAE","den_GMOR","den_GNIG","den_HANA","den_HARG","den_HAZU","den_HCAL","den_HCAR","den_HDEC","den_HELL","den_HEXA","den_HFRA","den_HGRI","den_HHEM","den_HLAG","den_HROS","den_HRUB","den_HSEM","den_HSEMYOY","den_HSPI","den_HSTE","den_HSTO","den_KGB","den_LARM","den_LBIL","den_LHIR","den_MCAL","den_MMIN","den_MMOL","den_NBLA","den_NCEP","den_OCAL","den_OCALYOY","den_OELO","den_OPIC","den_OTSH","den_OYB","den_OYT","den_PATR","den_PCAL","den_PCLA","den_PCLAYOY","den_PCOE","den_PFAL","den_PFUR","den_PGLA","den_PHOL","den_PLEU","den_PMAC","den_PMEL","den_PNEB","den_PNOT","den_PPRO","den_PTRI","den_PVIO","den_RALL","den_RBIN","den_RFSP","den_RFYOY","den_RHYP","den_RJOR","den_RNIC","den_RONSP","den_RRIC","den_RSTE","den_RTOX","den_RVAC","den_RYOY","den_SACA","den_SARG","den_SATR","den_SAUR","den_SCAL","den_SCAR","den_SCAU","den_SCHI","den_SCHR","den_SCOMSPP","den_SCON","den_SDAL","den_SDIA","den_SEBASTESSPP","den_SEBSPP","den_SENT","den_SFLA","den_SGIG","den_SGOO","den_SGUT","den_SHOP","den_SJAP","den_SLAL","den_SLEN","den_SLUC","den_SMAL","den_SMAR","den_SMEL","den_SMIN","den_SMYS","den_SMYSYOY","den_SNEB","den_SNIG","den_SPAU","den_SPAUYOY","den_SPIN","den_SPINYOY","den_SPUL","den_SPULYOY","den_SRAS","den_SROS","den_SRUB","den_SSAG","den_SSEM","den_SSER","den_STICH","den_STRE","den_SUMB","den_SXYR","den_SYNG","den_TCAL","den_Total","den_TPAC","den_TSEM","den_TSYM","den_UHAL","den_UnID.SMYS","den_UNK","den_URON","den_USAN","den_XCAL","den_XLIO","den_ZEXA","den_ZROS","bm_AAFF","bm_AARG","bm_ADAV","bm_AFLA","bm_AGUA","bm_AHAR","bm_AHOL","bm_AINE","bm_ANOB","bm_AOCE","bm_APFL","bm_ATHE","bm_ATHESPP","bm_AVUL","bm_BAITBALL","bm_BATH","bm_BFRE","bm_BFREYOY","bm_BOTH","bm_BPOL","bm_BRAY","bm_CAGG","bm_CGIG","bm_CITH","bm_CITHSPP","bm_CLUP","bm_COBS","bm_COTSP","bm_CPRI","bm_CPUN","bm_CPUNYOY","bm_CSAT","bm_CSOR","bm_CSTI","bm_CVEN","bm_CVIO","bm_CXAN","bm_DMAC","bm_EBIS","bm_EJAC","bm_EJOR","bm_ELAT","bm_EMBI","bm_EMOR","bm_ETAU","bm_EWAL","bm_GBY","bm_GGAL","bm_GLIN","bm_GMAE","bm_GMOR","bm_GNIG","bm_HANA","bm_HARG","bm_HAZU","bm_HCAL","bm_HCAR","bm_HDEC","bm_HELL","bm_HEXA","bm_HFRA","bm_HGRI","bm_HHEM","bm_HLAG","bm_HROS","bm_HRUB","bm_HSEM","bm_HSEMYOY","bm_HSPI","bm_HSTE","bm_HSTO","bm_KGB","bm_LARM","bm_LBIL","bm_LHIR","bm_MCAL","bm_MMIN","bm_MMOL","bm_NBLA","bm_NCEP","bm_OCAL","bm_OCALYOY","bm_OELO","bm_OPIC","bm_OTSH","bm_OYB","bm_OYT","bm_PATR","bm_PCAL","bm_PCLA","bm_PCLAYOY","bm_PCOE","bm_PFAL","bm_PFUR","bm_PGLA","bm_PHOL","bm_PLEU","bm_PMAC","bm_PMEL","bm_PNEB","bm_PNOT","bm_PPRO","bm_PTRI","bm_PVIO","bm_RALL","bm_RBIN","bm_RFSP","bm_RFYOY","bm_RHYP","bm_RJOR","bm_RNIC","bm_RONSP","bm_RRIC","bm_RSTE","bm_RTOX","bm_RVAC","bm_RYOY","bm_SACA","bm_SARG","bm_SATR","bm_SAUR","bm_SCAL","bm_SCAR","bm_SCAU","bm_SCHI","bm_SCHR","bm_SCOMSPP","bm_SCON","bm_SDAL","bm_SDIA","bm_SEBASTESSPP","bm_SEBSPP","bm_SENT","bm_SFLA","bm_SGIG","bm_SGOO","bm_SGUT","bm_SHOP","bm_SJAP","bm_SLAL","bm_SLEN","bm_SLUC","bm_SMAL","bm_SMAR","bm_SMEL","bm_SMIN","bm_SMYS","bm_SMYSYOY","bm_SNEB","bm_SNIG","bm_SPAU","bm_SPAUYOY","bm_SPIN","bm_SPINYOY","bm_SPUL","bm_SPULYOY","bm_SRAS","bm_SROS","bm_SRUB","bm_SSAG","bm_SSEM","bm_SSER","bm_STICH","bm_STRE","bm_SUMB","bm_SXYR","bm_SYNG","bm_TCAL","bm_Total","bm_TPAC","bm_TSEM","bm_TSYM","bm_UHAL","bm_UnID.SMYS","bm_UNK","bm_URON","bm_USAN","bm_XCAL","bm_XLIO","bm_ZEXA","bm_ZROS"
"1","BRUV","Anacapa",2019,"MPA",6.39285714285714,18.6785714285714,0.0993139285714286,3.64740535714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,16.9642857142857,0.714285714285714,0,0,2.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,0,0.321428571428571,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0.0714285714285714,0.107142857142857,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.428571428571429,0.107142857142857,0,5.10714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.036095,0.023375,0,0,0.0400260714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1248925,0,0.00890214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107289285714286,0,0,0,0.00135785714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.00727678571428571,0,0,0,0,0,0,0,0,0,0,7.19693857142857,0,0.00251285714285714,0.0102535714285714,0,0,0,0.000762857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.3933125,0,0,0.0223071428571429,0.00380214285714286,0,0.0611139285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BRUV","Anacapa",2019,"REF",10.9166666666667,19.2916666666667,0.16251375,2.32651166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4166666666667,8.875,0,0,2.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0416666666666667,0,0,0,0,0.916666666666667,0,0.0416666666666667,0.125,0,0,0.166666666666667,0,0.25,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0.541666666666667,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0.0416666666666667,0,0,0,0.208333333333333,0.25,0,0.208333333333333,0,0.208333333333333,0.833333333333333,0,0.625,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0.875,0,0,0,1.16666666666667,0,0.0416666666666667,1.83333333333333,0.166666666666667,4.16666666666667,1.95833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4466925,0.113859166666667,0,0,0.0108670833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347416666666667,0,0,0,0,0,0.0182558333333333,0,0,0.00129125,0,0,0,0,0.0236783333333333,0,0,0,0,0.00814416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446125,0,0,0,0,0,0,0,0,0,0,0,0,0.125791666666667,0,0,0,0,0,0,0,0,0.00213166666666667,0,8.08989041666667,0,0.0107754166666667,0.0131854166666667,0,0.874605416666667,0,0,0,0,0,0.0175125,0.0136566666666667,0,0,0,0.02228375,0,0,0,0.52651,0,0.051255,0.0302554166666667,0.0036725,0.03191625,0.00935541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BRUV","Anacapa",2020,"MPA",3.92405063291139,21.9493670886076,0.0482424050632911,3.5474682278481,0,0,0,0,0,0,0.0379746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379746835443038,0,0,0,0,0,0,0,20.7848101265823,1.84810126582278,0,0,0.329113924050633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253164556962025,0.0379746835443038,0,0,0,0,0,0,0,0,0.0126582278481013,0,0,0,0,0.139240506329114,0,0.0253164556962025,0.0506329113924051,0,0,0,0,0.0253164556962025,0.0759493670886076,0,0,0,0.20253164556962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40506329113924,0,0,0,0,0,0,0,0,0,0.0379746835443038,0,0,0.784810126582278,0,0,0,0,0,0,0,0,0,0,0.189873417721519,0,0.0759493670886076,0.0379746835443038,0,0.0506329113924051,0,0,0,0,0,0.518987341772152,1.30379746835443,0,0,0,0.215189873417722,0,0,0,0.620253164556962,0,0,0.79746835443038,0.0886075949367089,0.0126582278481013,1.13924050632911,0,0,0.113924050632911,0,0,0,0,0,0,0,1.18987341772152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8550682278481,0.0118815189873418,0,0,0.00259481012658228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124873417721519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786658227848101,0,0.0612018987341772,0.00186645569620253,0,0,0,0,0.166289367088608,0.00958329113924051,0,0,0,0.00138569620253165,0,0,0,0,0,0,0,0,0,0,0,0,0.0217411392405063,0,0,0,0.000801139240506329,0,0,0,0,0,0,0,0,0,0.00199443037974684,0,0,0.742292784810127,0,0,0,0,0,0,0,0,0,0,2.03891113924051,0,0.0257688607594937,0.00118708860759494,0,0.140146455696203,0,0,0,0,0,0.136715696202532,0.00337556962025316,0,0,0,0.114474303797468,0,0,0,0.311995443037975,0,0,0.0810082278481013,0.00101658227848101,0,0.0109370886075949,0,0,0.0121770886075949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BRUV","Anacapa",2020,"REF",4.50793650793651,13.2380952380952,0.0827414285714286,1.93312571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0,11.2698412698413,0.984126984126984,0,0,0.603174603174603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0.142857142857143,0,0.0476190476190476,0.0793650793650794,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53968253968254,0,0,0,0.0158730158730159,0,0,0,0,0.0158730158730159,0,0,0.0952380952380952,0.301587301587302,0,0,0,0,0,0,0,0,0.396825396825397,0,0.0952380952380952,0,0.111111111111111,0.476190476190476,0,0.0634920634920635,0,0,0,0,0,0.53968253968254,0.841269841269841,0,0,0,0.126984126984127,0,0,0,1.11111111111111,0,0,1.87301587301587,0.0317460317460317,0,3.46031746031746,0,0,0.0634920634920635,0,0,0,0,0,0,0,3.25396825396825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85104253968254,0.0269431746031746,0,0,0.0143236507936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270444444444444,0,0,0.00113492063492063,0,0,0,0,0,0,0,0,0,0.0101395238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144412698412698,0,0,0,0.020247619047619,0,0,0,0,0,0,0,0.0214569841269841,0.167323968253968,0,0,0,0,0,0,0,0,0.00200857142857143,0,3.59514603174603,0,0.0361336507936508,0.00967269841269841,0,0,0,0,0,0,0,0.187611904761905,0.045938253968254,0,0,0,0.00458984126984127,0,0,0,0.482734920634921,0,0,0.11028873015873,0.00850587301587302,0,0.011621746031746,0,0,0,0,0,0,0,0,0,0,0.0193206349206349,0,0,0,0,0,0,0,0,0
"5","BRUV","Santa Rosa",2019,"MPA",9.58620689655172,14.2758620689655,0.134244482758621,11.9100724137931,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79310344827586,4.20689655172414,0,0,0.827586206896552,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,1.86206896551724,0,0.517241379310345,0.620689655172414,0,0,0.689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137931034482759,0,0,0,1.51724137931034,0.0344827586206897,0,0,0.0689655172413793,1.82758620689655,0,0,0,0,0.0344827586206897,0,0.344827586206897,2.44827586206897,0,0,0,0,0,0,0,0,0,0,0.103448275862069,0,0,0,0,0.620689655172414,0,0,0,0,0,0.724137931034483,3.79310344827586,0,0,0,0.0344827586206897,0,0.103448275862069,0,1.20689655172414,0,0,0.0344827586206897,0,0,0.0344827586206897,0,0,0.103448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33034034482759,0.0317010344827586,0,0,0.0317934482758621,0,0,0,0,0,0,0.00655793103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722896551724138,0,0.790553448275862,0.0185465517241379,0,0,0.0844886206896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452620689655172,3.24137931034483e-05,0,0,0,0.0655172413793103,0,0,0,0,0.00213103448275862,0,0.0887644827586207,1.8821975862069,0,0,0,0,0,0,0,0,0,0,3.05547448275862,0,0,0,0,4.03028206896552,0,0,0,0,0,0.275115862068966,0.497676206896552,0,0,0,0,0,0.00259689655172414,0,1.1787575862069,0,0,0.00479310344827586,0,0,0,0,0,4.74086379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","BRUV","Santa Rosa",2019,"REF",2.78571428571429,13.5357142857143,1.97465214285714,6.94855821428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.0357142857142857,5.07142857142857,3.75,0,0,1.67857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464285714285714,0.571428571428571,0,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,1.28571428571429,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0.357142857142857,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0357142857142857,0,0,0,0,0,0.0357142857142857,0,0.678571428571429,2.82142857142857,0,0,0,0,0,0.0357142857142857,0,0.821428571428571,0,0,0,0,0,0.392857142857143,0,0,0.107142857142857,0,0,0,0,0,0,0,9.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75163071428571,0,0,0,0,0,0,0.000169642857142857,2.28742892857143,0.0483317857142857,0,0,0.0136582142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48754107142857,0.165565714285714,0,0,0.240544642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653428571428571,0,0,0,0.0070225,0.0008775,0,0,0,0,0,0,0,0,0,0,0.104121428571429,0.826608214285714,0,0,0,0,0,0,0,0,0,0,4.5240175,0,0,0,0,0,0,0,0,0,0,0.279976071428571,0.265654285714286,0,0,0,0,0,0,0,1.37047357142857,0,0,0,0,0,0.00105428571428571,0,0,0.0660175,0,0,0,0,0,0,0,0.0471535714285714,0,0,0,0,0,0,0,0,0
"7","BRUV","Santa Rosa",2020,"MPA",3.52941176470588,17.3529411764706,0.0679188235294118,6.85553794117647,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,6.11764705882353,1.67647058823529,0,0,0.441176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794117647058823,0,0.588235294117647,0.294117647058824,0,0,0.352941176470588,0,0.0294117647058824,0,0,0,0,0.205882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294117647058824,0,0,0,0,0.117647058823529,0,0,0,0,0,0,0.5,2.76470588235294,0,0,0,0,0,0,0,0,0.294117647058824,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,1.5,5.79411764705882,0,0,0,0.205882352941176,0,0.0294117647058824,0,0.911764705882353,0,0.0294117647058824,0.0588235294117647,0,0,0.176470588235294,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45445911764706,0.0415208823529412,0,0,0.0141191176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766296764705882,0.00752,0,0,0.105170882352941,0,0,0,0,0,0,0.0117955882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708235294117647,0,0,0,0,0,0,0.126430294117647,2.44978,0,0,0,0,0,0,0,0,0.00181147058823529,0,4.24220235294118,0,0,0,0,0,0,0,0,0,0,0.713654705882353,0.494622941176471,0,0,0,0.00197411764705882,0,0.000176764705882353,0,0.615870294117647,0,0,0.00237735294117647,0,0,0,0,0,0.108794117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BRUV","Santa Rosa",2020,"REF",3.25,11.6388888888889,0.161243611111111,3.72816861111111,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58333333333333,1.66666666666667,0,0,1.30555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361111111111111,0,0.388888888888889,0.305555555555556,0,0,0.25,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0.222222222222222,1.33333333333333,0,0,0,0,0,0,0,0,0.25,0,0.0277777777777778,0,0,0,0,0.0833333333333333,0,0,0,0,0,1.08333333333333,3.38888888888889,0,0,0,0.0555555555555556,0,0.0277777777777778,0,0.888888888888889,0,0,0.0277777777777778,0,0,0.25,0,0,0.0555555555555556,0,0,0,0,0,0,0,3.47222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000618888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1210175,0.143555833333333,0,0,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440527777777778,0,0.5512675,0.0045725,0,0,0.0128111111111111,0,0,0,0,0,0,0.0028075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205111111111111,0,0,0,0,0.0032325,0,0,0,0,0,0,0.0253688888888889,1.09258138888889,0,0,0,0,0,0,0,0,0.000893333333333333,0,0,0,0,0,0,0.297840277777778,0,0,0,0,0,0.224175833333333,0.202590555555556,0,0,0,0,0,0.00632888888888889,0,0.485933611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401472222222222,0,0,0,0,0,0,0,0,0
